Country,Series Name,1970s,1980s,1990s,2000s,2010s,2020s,Outcome
South Africa,Headline Consumer Price Inflation,9.763,14.598999999999998,9.886999999999997,5.432,5.172,4.943333333333333,0
Zambia,Headline Consumer Price Inflation,10.3,39.952,74.414,17.27,8.818,16.246666666666666,0
Zimbabwe,Headline Consumer Price Inflation,7.274000000000001,0.3769999999999999,-3.8340000000000005,12.974,27.449,313.56666666666666,0
British Virgin Islands,Headline Consumer Price Inflation,1.4,1.4,1.4,1.4,1.42,1.5333333333333332,0
Kosovo,Headline Consumer Price Inflation,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.1540000000000001,2.045,1.5333333333333332,0
Liechtenstein,Headline Consumer Price Inflation,0.0,0.0,0.0,0.0,-0.06899999999999998,0.88,0
Martinique,Headline Consumer Price Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0
Montserratit,Headline Consumer Price Inflation,1.9300000000000002,1.9300000000000002,1.9300000000000002,2.992,1.105,0.57,0
New Caledonia,Headline Consumer Price Inflation,1.3050000000000002,1.3050000000000002,1.421,1.666,1.245,0.465,0
Niue,Headline Consumer Price Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0
Saint Helena,Headline Consumer Price Inflation,3.7999999999999994,3.7999999999999994,3.7999999999999994,4.68,3.7099999999999995,2.066666666666667,0
Timor-Leste,Headline Consumer Price Inflation,3.2400000000000007,3.2400000000000007,3.2400000000000007,4.521000000000001,4.686,3.24,0
Turks and Caicos Islands,Headline Consumer Price Inflation,2.75,2.75,2.75,3.1949999999999994,2.6900000000000004,2.6,0
Aruba,Energy Consumer Price Inflation,2.0799999999999996,2.0799999999999996,2.0799999999999996,4.0840000000000005,1.1670000000000003,1.7866666666666664,0
Afghanistan,Energy Consumer Price Inflation,8.530000000000001,26.163,14.287,7.584000000000001,3.5069999999999992,8.530000000000001,0
Albania,Energy Consumer Price Inflation,4.1850000000000005,4.1850000000000005,11.382500000000002,10.922,1.2859999999999998,6.616666666666667,0
United Arab Emirates,Energy Consumer Price Inflation,-0.024999999999999994,-0.024999999999999994,-0.024999999999999994,0.742,0.3019999999999999,-2.4483333333333337,0
Argentina,Energy Consumer Price Inflation,98.263,444.57000000000005,309.06000000000006,9.349499999999999,31.055999999999994,30.689999999999998,0
Armenia,Energy Consumer Price Inflation,1.6,1.6,32.73,1.6200000000000003,1.941,2.7466666666666666,0
Australia,Energy Consumer Price Inflation,8.463000000000001,9.321,0.6110000000000002,4.607,2.982,9.246666666666668,0
Austria,Energy Consumer Price Inflation,7.203,4.13,1.855,3.084,2.003,18.263333333333332,0
Azerbaijan,Energy Consumer Price Inflation,13.9,13.9,316.72999999999996,21.85,8.556999999999999,10.683333333333332,0
Burundi,Energy Consumer Price Inflation,7.970000000000001,7.970000000000001,8.016,11.669,9.133,7.8566666666666665,0
Belgium,Energy Consumer Price Inflation,8.141,6.252,3.186,3.2340000000000004,2.335,21.820000000000004,0
Benin,Energy Consumer Price Inflation,2.125,2.125,2.2445,4.278,0.8160000000000001,0.63,0
Burkina Faso,Energy Consumer Price Inflation,7.69,3.0145,1.621,3.7689999999999997,2.056,1.2733333333333334,0
Bangladesh,Energy Consumer Price Inflation,24.52,12.61,6.756,4.776,5.486000000000001,4.006666666666667,0
